iter	Logloss
0	0.687480423
1	0.6816036096
2	0.6765556748
3	0.6715713107
4	0.6671310135
5	0.6624506994
6	0.6575580268
7	0.652262156
8	0.649236633
9	0.6441514583
10	0.6396431722
11	0.6360638227
12	0.6311114111
13	0.6271730178
14	0.6234170993
15	0.6190456068
16	0.6142046251
17	0.6103720034
18	0.6081844771
19	0.6045266378
20	0.6011345495
21	0.5967661597
22	0.5927350036
23	0.5898164348
24	0.58600574
25	0.5819838559
26	0.5782903697
27	0.5746197834
28	0.5713203197
29	0.5675098292
30	0.564585251
31	0.5613629176
32	0.5589666469
33	0.5563474223
34	0.5532155854
35	0.5505588248
36	0.5480993892
37	0.5449486821
38	0.5418527282
39	0.539151943
40	0.5363297015
41	0.5334321515
42	0.5313807921
43	0.5285384719
44	0.5262870906
45	0.5237680943
46	0.5217740475
47	0.5191356164
48	0.5165233824
49	0.5141447041
50	0.5115013635
51	0.5091766209
52	0.5077818508
53	0.5052975036
54	0.5031541358
55	0.5008600044
56	0.4983241611
57	0.496475037
58	0.4944376136
59	0.4926880821
60	0.4911960797
61	0.4899081026
62	0.4887288161
63	0.4878799825
64	0.4864471455
65	0.4848482254
66	0.4837236019
67	0.4817579641
68	0.4803767958
69	0.4785092529
70	0.4774808346
71	0.4762311096
72	0.4746527838
73	0.4730855758
74	0.471417447
75	0.4698806051
76	0.4685716041
77	0.4673304674
78	0.4660976123
79	0.4645387579
80	0.4632333056
81	0.4617365882
82	0.4604368728
83	0.4590996165
84	0.4578719034
85	0.4572503594
86	0.4557834347
87	0.4546741507
88	0.4537033925
89	0.4527595783
90	0.4516911935
91	0.4506487758
92	0.4498712584
93	0.4484512823
94	0.4473115757
95	0.4460497306
96	0.4451943266
97	0.4442820618
98	0.443421871
99	0.4424863865
100	0.4417087969
101	0.440390514
102	0.4393393602
103	0.4382260391
104	0.4374060365
105	0.4364260061
106	0.4355729081
107	0.4346438843
108	0.4337287443
109	0.4329368149
110	0.4319667335
111	0.4309758054
112	0.4306564117
113	0.4296792471
114	0.42881311
115	0.4280857953
116	0.4273362222
117	0.4267214525
118	0.425752052
119	0.4249505738
120	0.4245370464
121	0.4238771999
122	0.423297796
123	0.4225245207
124	0.4216759429
125	0.4211701719
126	0.4203502338
127	0.4196454946
128	0.4192058397
129	0.4182980667
130	0.4176100137
131	0.4168891093
132	0.4161141009
133	0.4155057896
134	0.415156949
135	0.414612649
136	0.4138302716
137	0.4132874556
138	0.4129286132
139	0.4125580802
140	0.4118434355
141	0.4113290087
142	0.4109366099
143	0.4105014788
144	0.4100883045
145	0.4091933996
146	0.4088389135
147	0.4084735866
148	0.4078830427
149	0.4071716917
150	0.4064960567
151	0.4058933196
152	0.4053078578
153	0.4047738367
154	0.404397399
155	0.4041504927
156	0.403668902
157	0.4029870258
158	0.4024489711
159	0.4018093527
160	0.4012919561
161	0.4008435687
162	0.4003279566
163	0.4000785281
164	0.3996714433
165	0.3992254306
166	0.3990538114
167	0.3987705316
168	0.3981941115
169	0.3977874305
170	0.3973408753
171	0.3969688689
172	0.3965039074
173	0.3963432959
174	0.3959517048
175	0.3956108633
176	0.3952280445
177	0.394916409
178	0.3945955037
179	0.3941347691
180	0.3937906601
181	0.3934979694
182	0.3932300039
183	0.3930445561
184	0.3925826352
185	0.3921355921
186	0.3917338812
187	0.3915406463
188	0.3913113221
189	0.3910984946
190	0.3905362431
191	0.3902031023
192	0.3898487837
193	0.3895648367
194	0.3893259484
195	0.3888354434
196	0.3886564197
197	0.3882820478
198	0.3878541712
199	0.3874017079
200	0.3872196728
201	0.3867214913
202	0.3863879014
203	0.3859715692
204	0.3856151024
205	0.3851741069
206	0.3851123759
207	0.3848794134
208	0.3846203174
209	0.3843166067
210	0.3841680578
211	0.3839397329
212	0.383790683
213	0.3835233545
214	0.3833544293
215	0.3828388372
216	0.3825109272
217	0.3822838874
218	0.3818192379
219	0.3815210399
220	0.3811143925
221	0.3808053953
222	0.3804866375
223	0.3802641474
224	0.379921731
225	0.3795408512
226	0.3792680404
227	0.378914156
228	0.3786539325
229	0.3784505381
230	0.3782688713
231	0.3778821264
232	0.3776402771
233	0.3772678272
234	0.3769953152
