iter	Passed	Remaining
0	7	7519
1	12	6244
2	17	5715
3	22	5512
4	27	5413
5	31	5155
6	35	5100
7	41	5142
8	45	4976
9	49	4905
10	54	4892
11	59	4894
12	63	4826
13	66	4713
14	70	4629
15	78	4802
16	84	4909
17	93	5111
18	96	5004
19	104	5116
20	108	5039
21	111	4972
22	116	4937
23	121	4954
24	126	4925
25	131	4929
26	137	4954
27	141	4925
28	146	4901
29	152	4921
30	155	4863
31	159	4831
32	166	4873
33	170	4850
34	174	4819
35	179	4815
36	185	4839
37	190	4832
38	195	4828
39	202	4856
40	207	4855
41	214	4897
42	218	4868
43	222	4835
44	228	4848
45	232	4825
46	235	4784
47	240	4761
48	246	4782
49	250	4755
50	254	4742
51	261	4773
52	266	4762
53	271	4750
54	278	4785
55	284	4788
56	289	4788
57	297	4825
58	302	4821
59	309	4842
60	313	4821
61	316	4790
62	321	4778
63	325	4766
64	329	4736
65	333	4720
66	339	4728
67	343	4711
68	347	4694
69	352	4683
70	358	4693
71	362	4677
72	368	4683
73	374	4685
74	378	4666
75	382	4655
76	389	4674
77	394	4665
78	398	4645
79	406	4672
80	411	4673
81	417	4675
82	422	4663
83	426	4655
84	431	4648
85	436	4640
86	440	4625
87	445	4615
88	451	4622
89	455	4610
90	460	4599
91	467	4612
92	471	4597
93	475	4583
94	482	4595
95	487	4594
96	491	4571
97	498	4584
98	502	4572
99	507	4563
100	513	4566
101	517	4553
102	521	4539
103	525	4524
104	531	4528
105	535	4516
106	539	4500
107	545	4503
108	549	4488
109	552	4473
110	556	4459
111	562	4456
112	564	4430
113	568	4420
114	573	4409
115	578	4412
116	582	4398
117	585	4380
118	590	4368
119	597	4384
120	601	4371
121	606	4361
122	612	4365
123	617	4360
124	621	4350
125	627	4351
126	631	4339
127	635	4327
128	640	4323
129	644	4312
130	647	4296
131	651	4283
132	657	4283
133	661	4273
134	664	4256
135	668	4246
136	674	4247
137	677	4231
138	681	4219
139	684	4203
140	691	4212
141	695	4203
142	699	4192
143	706	4198
144	711	4193
145	715	4186
146	723	4196
147	728	4196
148	736	4209
149	742	4209
150	747	4205
151	755	4212
152	759	4203
153	763	4193
154	769	4196
155	773	4185
156	777	4173
157	783	4177
158	788	4169
159	792	4160
160	796	4153
161	802	4153
162	807	4147
163	811	4138
164	819	4144
165	823	4139
166	832	4153
167	838	4151
168	842	4143
169	849	4148
170	853	4139
171	857	4129
172	864	4130
173	867	4117
174	871	4110
175	877	4107
176	881	4099
177	885	4087
178	889	4080
179	895	4077
180	899	4068
181	902	4058
182	907	4052
183	913	4051
184	917	4042
185	922	4035
186	929	4041
187	934	4036
188	940	4034
189	944	4028
190	949	4020
191	953	4014
192	959	4012
193	963	4003
194	967	3995
195	974	3997
196	978	3989
197	983	3982
198	989	3981
199	993	3972
200	997	3963
201	1001	3955
202	1021	4009
203	1029	4015
204	1038	4026
205	1042	4016
206	1045	4005
207	1081	4117
208	1091	4132
209	1096	4123
210	1101	4120
211	1106	4113
212	1109	4098
213	1113	4088
214	1123	4100
215	1127	4093
216	1134	4095
217	1140	4091
218	1144	4081
219	1184	4200
220	1192	4201
221	1202	4212
222	1208	4209
223	1217	4218
224	1222	4209
225	1238	4240
226	1249	4253
227	1255	4251
228	1264	4258
229	1271	4258
230	1278	4257
231	1283	4249
232	1288	4242
233	1296	4244
234	1302	4239
235	1311	4246
236	1317	4241
237	1326	4247
238	1331	4240
239	1344	4256
240	1350	4254
241	1366	4279
242	1376	4286
243	1382	4282
244	1389	4281
245	1395	4276
246	1399	4267
247	1408	4270
248	1412	4260
249	1421	4263
250	1426	4255
251	1430	4246
252	1440	4251
253	1445	4245
254	1451	4242
255	1459	4242
256	1470	4252
257	1476	4247
258	1486	4252
259	1491	4243
260	1494	4231
261	1503	4234
262	1518	4254
263	1523	4248
264	1528	4238
265	1534	4235
266	1541	4232
267	1552	4240
268	1566	4256
269	1579	4269
270	1587	4269
271	1599	4282
272	1621	4318
273	1628	4316
274	1637	4317
275	1650	4328
276	1659	4331
277	1715	4456
278	1720	4446
279	1745	4489
280	1767	4522
281	1796	4575
282	1817	4603
283	1832	4619
284	1839	4614
285	1864	4655
286	1881	4673
287	1899	4697
288	1915	4713
289	1927	4719
290	1932	4707
291	1936	4694
292	1947	4698
293	1961	4709
294	1973	4717
295	1992	4737
296	1997	4727
297	2034	4792
298	2044	4792
299	2055	4795
300	2068	4804
301	2110	4878
302	2125	4890
303	2137	4894
304	2143	4884
305	2151	4879
306	2154	4864
307	2160	4854
308	2166	4844
309	2170	4831
310	2175	4820
311	2181	4810
312	2195	4818
313	2199	4806
314	2213	4813
315	2218	4801
316	2227	4798
317	2233	4790
318	2243	4788
319	2248	4777
320	2254	4767
321	2260	4758
322	2278	4776
323	2283	4765
324	2292	4760
325	2296	4748
326	2311	4757
327	2328	4769
328	2332	4757
329	2358	4787
330	2363	4777
331	2375	4779
332	2381	4770
333	2391	4767
334	2395	4755
335	2410	4762
336	2413	4748
337	2423	4745
338	2428	4734
339	2437	4731
340	2462	4759
341	2472	4757
342	2478	4746
343	2488	4745
344	2493	4734
345	2521	4766
346	2527	4756
347	2539	4758
348	2551	4758
349	2570	4773
350	2576	4763
351	2585	4759
352	2590	4747
353	2605	4754
354	2638	4794
355	2702	4889
356	2722	4904
357	2754	4940
358	2765	4938
359	2773	4929
360	2817	4986
361	2821	4972
362	2831	4968
363	2836	4956
364	2852	4963
365	2864	4961
366	2894	4992
367	2900	4980
368	2911	4978
369	2958	5036
370	2963	5024
371	2968	5010
372	2976	5002
373	2986	4998
374	3009	5015
375	3013	5000
376	3026	5000
377	3044	5009
378	3073	5036
379	3084	5032
380	3091	5023
381	3101	5018
382	3156	5084
383	3170	5086
384	3173	5069
385	3181	5061
386	3188	5051
387	3201	5050
388	3219	5056
389	3250	5084
390	3259	5076
391	3266	5066
392	3280	5067
393	3292	5063
394	3299	5053
395	3301	5035
396	3313	5032
397	3317	5017
398	3375	5084
399	3380	5070
400	3383	5053
401	3394	5049
402	3398	5035
403	3417	5041
404	3426	5033
405	3431	5020
406	3439	5010
407	3443	4995
408	3447	4982
409	3463	4983
410	3471	4974
411	3475	4960
412	3485	4954
413	3490	4940
414	3500	4933
415	3507	4923
416	3535	4942
417	3540	4930
418	3548	4920
419	3554	4908
420	3574	4915
421	3582	4906
422	3595	4904
423	3601	4892
424	3604	4877
425	3612	4867
426	3625	4865
427	3630	4851
